,City,STATE,Population,Venues Count
0,newyork,NY,8398748.0,1
1,losangeles,CA,3990456.0,4
2,chicago,IL,2705994.0,4
3,houston,TX,2325502.0,6
4,phoenix,AZ,1660272.0,3
5,philadelphia,PA,1584138.0,3
6,sanantonio,TX,1532233.0,2
7,sandiego,CA,1425976.0,2
8,dallas,TX,1345047.0,2
9,sanfrancisco/oakland,CA,1312387.0,4
10,sanjose,CA,1030119.0,3
11,austin,TX,964254.0,3
12,jacksonville,FL,903889.0,1
13,fortworth,TX,895008.0,2
14,columbus,OH,892533.0,4
15,charlotte,NC,872498.0,3
16,indianapolis,IN,867125.0,3
17,seattle,WA,744955.0,4
18,denver,CO,716492.0,3
19,washington,DC,702455.0,4
20,boston,MA,694583.0,2
21,elpaso,TX,682669.0,1
22,detroit,MI,672662.0,3
23,nashville,TN,669053.0,3
24,portland,OR,653115.0,2
25,memphis,TN,650618.0,2
26,oklahoma,OK,649021.0,1
27,lasvegas,NV,644644.0,5
28,baltimore,MD,602495.0,2
29,milwaukee,WI,592025.0,2
30,albuquerque,NM,560218.0,2
31,tucson,AZ,545975.0,1
32,fresno,CA,530093.0,2
33,sacramento,CA,508529.0,2
34,atlanta,GA,498044.0,5
35,miami,FL,470914.0,3
36,raleigh,NC,469298.0,2
37,omaha,NE,468262.0,1
38,minneapolis,MN,425403.0,4
39,tulsa,OK,400669.0,2
40,arlington,TX,398112.0,3
41,tampabay,FL,392890.0,1
42,neworleans,LA,391006.0,3
43,cleveland,OH,383793.0,3
44,anaheim,CA,352005.0,2
45,st.paul,MN,307695.0,2
46,st.louis,MO,302838.0,3
47,cincinnati,OH,302605.0,3
48,pittsburgh,PA,301048.0,3
49,greensboro,NC,294722.0,1
50,lincoln,NE,287401.0,1
51,orlando,FL,285713.0,4
52,newark,NJ,282090.0,1
53,toledo,OH,274975.0,1
54,durham,NC,274291.0,1
55,st.petersburg,FL,265098.0,1
56,madison,WI,258054.0,2
57,buffalo,NY,256304.0,2
58,lubbock,TX,255885.0,1
59,reno,NV,250998.0,1
60,glendale,AZ,250702.0,2
61,winston-salem,NC,246328.0,1
62,norfolk,VA,244076.0,1
63,richmond,VA,228783.0,1
64,batonrouge,LA,221599.0,1
65,fontana,CA,213739.0,1
66,birmingham,AL,209880.0,1
67,saltlake,UT,200591.0,1
68,akron,OH,198006.0,1
69,littlerock,AR,197881.0,1
70,tallahassee,FL,193551.0,1
71,tempe,AZ,192364.0,1
72,mobile,AL,189572.0,1
73,frisco,TX,188170.0,1
74,knoxville,TN,187500.0,2
75,eugene,OR,171245.0,1
76,fortcollins,CO,167830.0,1
77,kansas,KS,152958.0,2
78,joliet,IL,148099.0,1
79,syracuse,NY,142749.0,1
80,pasadena,CA,141371.0,1
81,murfreesboro,TN,141344.0,1
82,denton,TX,138541.0,1
83,waco,TX,138183.0,1
84,gainesville,FL,133857.0,1
85,columbia,SC,133451.0,2
86,santaclara,CA,129488.0,1
87,lafayette,LA,126143.0,1
88,norman,OK,123471.0,1
89,columbia,MO,123180.0,1
90,hartford,CT,122587.0,2
91,annarbor,MI,121890.0,1
92,berkeley,CA,121643.0,1
93,provo,UT,116702.0,2
94,collegestation,TX,116218.0,1
95,miamigardens,FL,113069.0,1
96,inglewood,CA,109419.0,1
97,boulder,CO,107353.0,1
98,greenbay,WI,104879.0,1
99,lascruces,NM,102926.0,1
100,tuscaloosa,AL,101113.0,2
101,bocaraton,FL,99244.0,1
102,lawrence,KS,97286.0,2
103,sandy,UT,96901.0,1
104,sunrise,FL,95458.0,1
105,concord,NC,94130.0,1
106,greenville,NC,93137.0,1
107,carson,CA,91909.0,1
108,champaign,IL,88029.0,2
109,fayetteville,AR,86751.0,2
110,bloomington,IN,84981.0,2
111,lynchburg,VA,82126.0,1
112,jonesboro,AR,76990.0,1
113,kalamazoo,MI,76545.0,1
114,evanston,IL,74106.0,1
115,homestead,FL,70477.0,1
116,daytonabeach,FL,68866.0,1
117,muncie,IN,68529.0,1
118,bowlinggreen,KY,68401.0,1
119,ames,IA,67154.0,1
120,auburn,AL,65738.0,1
121,sanmarcos,TX,63509.0,1
122,westallis,WI,59492.0,1
123,corvallis,OR,58641.0,1
124,arcadia,CA,58610.0,1
125,commercecity,CO,58449.0,1
126,manhattan,KS,54959.0,1
127,logan,UT,51619.0,1
128,stillwater,OK,50391.0,1
