,CITY,STATE,Population,Venues Count
0,newyork,NY,8398748.0,1
1,losangeles,CA,3990456.0,4
2,chicago,IL,2705994.0,4
3,houston,TX,2325502.0,6
4,phoenix,AZ,1660272.0,3
5,philadelphia,PA,1584138.0,3
6,sanantonio,TX,1532233.0,2
7,sandiego,CA,1425976.0,2
8,dallas,TX,1345047.0,2
9,sanjose,CA,1030119.0,3
10,austin,TX,964254.0,3
11,jacksonville,FL,903889.0,1
12,fortworth,TX,895008.0,2
13,columbus,OH,892533.0,4
14,sanfrancisco,CA,883305.0,2
15,charlotte,NC,872498.0,3
16,seattle,WA,744955.0,4
17,denver,CO,716492.0,3
18,washington,DC,702455.0,4
19,boston,MA,694583.0,2
20,elpaso,TX,682669.0,1
21,detroit,MI,672662.0,3
22,portland,OR,653115.0,2
23,memphis,TN,650618.0,2
24,lasvegas,NV,644644.0,5
25,baltimore,MD,602495.0,2
26,milwaukee,WI,592025.0,2
27,albuquerque,NM,560218.0,2
28,tucson,AZ,545975.0,1
29,fresno,CA,530093.0,2
30,sacramento,CA,508529.0,2
31,atlanta,GA,498044.0,5
32,miami,FL,470914.0,3
33,raleigh,NC,469298.0,2
34,omaha,NE,468262.0,1
35,oakland,CA,429082.0,2
36,minneapolis,MN,425403.0,4
37,tulsa,OK,400669.0,2
38,arlington,TX,398112.0,3
39,tampa,FL,392890.0,2
40,cleveland,OH,383793.0,3
41,anaheim,CA,352005.0,2
42,st.paul,MN,307695.0,2
43,st.louis,MO,302838.0,3
44,cincinnati,OH,302605.0,3
45,pittsburgh,PA,301048.0,3
46,greensboro,NC,294722.0,1
47,lincoln,NE,287401.0,1
48,orlando,FL,285713.0,4
49,newark,NJ,282090.0,1
50,toledo,OH,274975.0,1
51,durham,NC,274291.0,1
52,st.petersburg,FL,265098.0,1
53,madison,WI,258054.0,2
54,buffalo,NY,256304.0,2
55,lubbock,TX,255885.0,1
56,reno,NV,250998.0,1
57,glendale,AZ,250702.0,2
58,winston-salem,NC,246328.0,1
59,norfolk,VA,244076.0,1
60,richmond,VA,228783.0,1
61,fontana,CA,213739.0,1
62,birmingham,AL,209880.0,1
63,saltlakecity,UT,200591.0,2
64,akron,OH,198006.0,1
65,littlerock,AR,197881.0,1
66,tallahassee,FL,193551.0,1
67,tempe,AZ,192364.0,1
68,mobile,AL,189572.0,1
69,frisco,TX,188170.0,1
70,knoxville,TN,187500.0,2
71,eugene,OR,171245.0,1
72,fortcollins,CO,167830.0,1
73,joliet,IL,148099.0,1
74,syracuse,NY,142749.0,1
75,pasadena,CA,141371.0,1
76,murfreesboro,TN,141344.0,1
77,denton,TX,138541.0,1
78,waco,TX,138183.0,1
79,gainesville,FL,133857.0,1
80,columbia,SC,133451.0,2
81,santaclara,CA,129488.0,1
82,norman,OK,123471.0,1
83,columbia,MO,123180.0,1
84,hartford,CT,122587.0,2
85,annarbor,MI,121890.0,1
86,berkeley,CA,121643.0,1
87,provo,UT,116702.0,2
88,collegestation,TX,116218.0,1
89,miamigardens,FL,113069.0,1
90,inglewood,CA,109419.0,1
91,boulder,CO,107353.0,1
92,greenbay,WI,104879.0,1
93,lascruces,NM,102926.0,1
94,tuscaloosa,AL,101113.0,2
95,bocaraton,FL,99244.0,1
96,lawrence,KS,97286.0,2
97,sandy,UT,96901.0,1
98,sunrise,FL,95458.0,1
99,concord,NC,94130.0,1
100,greenville,NC,93137.0,1
101,carson,CA,91909.0,1
102,champaign,IL,88029.0,2
103,fayetteville,AR,86751.0,2
104,bloomington,IN,84981.0,2
105,lynchburg,VA,82126.0,1
106,jonesboro,AR,76990.0,1
107,kalamazoo,MI,76545.0,1
108,evanston,IL,74106.0,1
109,homestead,FL,70477.0,1
110,daytonabeach,FL,68866.0,1
111,muncie,IN,68529.0,1
112,bowlinggreen,KY,68401.0,1
113,ames,IA,67154.0,1
114,auburn,AL,65738.0,1
115,sanmarcos,TX,63509.0,1
116,westallis,WI,59492.0,1
117,corvallis,OR,58641.0,1
118,arcadia,CA,58610.0,1
119,commercecity,CO,58449.0,1
120,manhattan,KS,54959.0,1
121,logan,UT,51619.0,1
122,stillwater,OK,50391.0,1
